rank,country,regime_type,overall_score,electorat_and_pluralism,government,poli­tical_partici­pation,poli­tical_cul­ture,civil_liber­ties
75,Tunisia,Hybrid regime,5.99,7.50,4.64,7.22,5.00,5.59
77,Paraguay,Hybrid regime,5.86,8.75,5.36,5.00,3.13,7.06
78,Malawi,Hybrid regime,5.74,7.00,4.29,5.00,6.25,6.18
79,El Salvador,Hybrid regime,5.72,9.17,3.93,5.56,3.75,6.18
79,Zambia,Hybrid regime,5.72,7.50,3.64,5.00,6.88,5.59
81,Bhutan,Hybrid regime,5.71,8.75,6.79,3.33,5.00,4.71
81,Ecuador,Hybrid regime,5.71,8.75,5.00,6.11,2.50,6.18
83,Madagascar,Hybrid regime,5.70,7.92,3.57,6.67,5.63,4.71
84,Fiji,Hybrid regime,5.61,6.58,5.00,5.56,5.63,5.29
85,Hong Kong,Hybrid regime,5.60,2.75,3.64,5.56,7.50,8.53
86,Mexico,Hybrid regime,5.57,6.92,5.00,7.22,3.13,5.59
86,Ukraine,Hybrid regime,5.57,8.25,2.36,6.67,5.00,5.59
88,Senegal,Hybrid regime,5.53,5.67,5.71,4.44,6.25,5.59
89,Armenia,Hybrid regime,5.49,7.50,5.71,6.11,3.13,5.00
90,Liberia,Hybrid regime,5.43,7.42,2.71,6.11,5.63,5.29
91,Georgia,Hybrid regime,5.12,7.42,3.57,5.56,3.75,5.29
92,Honduras,Hybrid regime,5.10,8.75,3.93,4.44,2.50,5.88
93,Tanzania,Hybrid regime,5.10,4.83,5.00,5.00,6.25,4.41
94,Kenya,Hybrid regime,5.05,3.50,5.36,6.67,5.63,4.12
95,Bosnia and Herzegovina,Hybrid regime,5.04,7.00,3.29,5.56,3.75,5.59
95,Morocco,Hybrid regime,5.04,5.25,4.64,5.56,5.63,4.12
97,Sierra Leone,Hybrid regime,4.97,6.58,2.86,3.89,6.25,5.29
98,Bolivia,Hybrid regime,4.65,4.75,4.29,6.11,2.50,5.59
99,Guatemala,Hybrid regime,4.62,6.92,3.93,3.89,2.50,5.88
100,Uganda,Hybrid regime,4.48,3.42,3.21,3.89,6.88,5.00
101,Gambia,Hybrid regime,4.41,3.58,4.29,4.44,5.63,4.12
101,Nepal,Hybrid regime,4.41,4.83,5.00,4.44,2.50,5.29
103,Turkey,Hybrid regime,4.35,3.50,5.00,5.56,5.63,2.06
104,Pakistan,Hybrid regime,4.31,5.67,5.36,3.33,2.50,4.71
105,Ivory Coast,Hybrid regime,4.22,4.33,2.86,4.44,5.63,3.82
106,Benin,Hybrid regime,4.19,1.67,5.36,3.89,5.63,4.41
107,Nigeria,Hybrid regime,4.11,5.17,3.93,3.89,3.75,3.82
108,Mauritania,Hybrid regime,4.03,3.50,3.57,5.56,3.13,4.41
109,Palestine,Authoritarian,3.94,3.33,0.14,8.33,4.38,3.53
110,Kuwait,Authoritarian,3.91,3.58,3.93,4.44,4.38,3.24
111,Burkina Faso,Authoritarian,3.84,3.00,2.36,5.00,5.00,3.82
111,Lebanon,Authoritarian,3.84,3.50,1.14,6.67,3.75,4.12
113,Algeria,Authoritarian,3.77,3.08,2.50,4.44,5.00,3.82
114,Qatar,Authoritarian,3.65,1.50,4.29,3.33,5.63,3.53
115,Kyrgyzstan,Authoritarian,3.62,4.33,1.50,4.44,3.13,4.71
116,Iraq,Authoritarian,3.51,5.25,0.00,6.11,5.00,1.18
116,Mozambique,Authoritarian,3.51,2.58,1.43,5.00,5.00,3.53
118,Jordan,Authoritarian,3.49,2.67,3.93,3.89,3.75,3.24
119,Haiti,Authoritarian,3.48,3.08,0.00,2.78,6.25,5.29
119,Mali,Authoritarian,3.48,2.42,0.00,5.56,5.63,3.82
121,Gabon,Authoritarian,3.40,2.17,1.86,4.44,5.00,3.53
122,Angola,Authoritarian,3.37,1.33,2.86,5.00,5.00,2.65
123,Ethiopia,Authoritarian,3.30,0.42,3.21,6.11,5.00,1.76
124,Russia,Authoritarian,3.24,1.75,2.14,4.44,3.75,4.12
125,Niger,Authoritarian,3.22,2.00,1.14,3.89,4.38,4.71
126,Comoros,Authoritarian,3.20,2.08,2.21,4.44,3.75,3.53
127,Rwanda,Authoritarian,3.10,1.42,4.29,2.78,4.38,2.65
128,Eswatini,Authoritarian,3.08,0.92,2.86,2.78,5.63,3.24
128,Kazakhstan,Authoritarian,3.08,0.50,3.21,5.00,3.75,2.94
130,Oman,Authoritarian,3.00,0.08,3.93,2.78,4.38,3.82
131,Vietnam,Authoritarian,2.94,0.00,2.86,3.89,5.63,2.35
132,Egypt,Authoritarian,2.93,1.33,3.21,3.33,5.00,1.76
133,Zimbabwe,Authoritarian,2.92,0.00,2.50,3.89,5.00,3.24
134,Cambodia,Authoritarian,2.90,0.00,3.21,3.89,5.63,1.76
134,United Arab Emirates,Authoritarian,2.90,0.00,4.29,2.22,5.63,2.35
136,Togo,Authoritarian,2.80,0.92,1.79,3.33,5.00,2.94
137,Republic of the Congo,Authoritarian,2.79,0.00,2.50,4.44,3.75,3.24
138,Guinea-Bissau,Authoritarian,2.75,4.92,0.00,3.33,3.13,2.35
139,Djibouti,Authoritarian,2.74,0.00,1.29,4.44,5.63,2.35
140,Nicaragua,Authoritarian,2.69,0.00,2.50,3.33,4.38,3.24
141,Azerbaijan,Authoritarian,2.68,0.50,2.50,2.78,5.00,2.65
142,Cuba,Authoritarian,2.59,0.00,3.21,3.33,3.75,2.65
143,Cameroon,Authoritarian,2.56,0.33,2.14,3.89,4.38,2.06
144,Bahrain,Authoritarian,2.52,0.42,2.71,3.33,4.38,1.76
145,Sudan,Authoritarian,2.47,0.00,1.43,4.44,5.00,1.47
146,Belarus,Authoritarian,2.41,0.00,2.00,3.89,4.38,1.76
147,Guinea,Authoritarian,2.28,1.25,0.43,3.33,3.75,2.65
148,China,Authoritarian,2.21,0.00,4.29,2.78,3.13,0.88
149,Burundi,Authoritarian,2.13,0.00,0.00,3.89,5.00,1.76
150,Uzbekistan,Authoritarian,2.12,0.08,1.86,2.78,5.00,0.88
151,Venezuela,Authoritarian,2.11,0.00,1.79,3.89,2.50,2.35
152,Saudi Arabia,Authoritarian,2.08,0.00,3.57,2.22,3.13,1.47
153,Eritrea,Authoritarian,2.03,0.00,2.14,0.56,6.88,0.59
154,Libya,Authoritarian,1.95,0.00,0.00,3.33,3.75,2.65
154,Iran,Authoritarian,1.95,0.00,2.50,3.89,1.88,1.47
154,Yemen,Authoritarian,1.95,0.00,0.00,3.89,5.00,0.88
157,Tajikistan,Authoritarian,1.94,0.00,2.21,2.22,4.38,0.88
158,Equatorial Guinea,Authoritarian,1.92,0.00,0.43,3.33,4.38,1.47
159,Laos,Authoritarian,1.77,0.00,2.86,1.67,3.75,0.59
160,Chad,Authoritarian,1.67,0.00,0.00,2.22,3.75,2.35
161,Turkmenistan,Authoritarian,1.66,0.00,0.79,2.22,5.00,0.29
162,Syria,Authoritarian,1.43,0.00,0.00,2.78,4.38,0.00
162,Central African Republic,Authoritarian,1.43,1.25,0.00,1.67,1.88,2.35
164,Democratic Republic of the Congo,Authoritarian,1.40,0.75,0.00,2.22,3.13,0.88
165,North Korea,Authoritarian,1.08,0.00,2.50,1.67,1.25,0.00
166,Myanmar,Authoritarian,1.02,0.00,0.00,1.67,3.13,0.29
167,Afghanistan,Authoritarian,0.32,0.00,0.07,0.00,1.25,0.29
